,title,region,version,crc32,status,Project Lunar Version,notes,EXTRA FILES,,,,,,,,,,,,,,,,,
,Blockbuster World Video Game Championship II,USA,,4385E366,Doesn't Work,1.0.7251.40474,Blue stripes,,,,,,,,,,,,,,,,,,
,Blockbuster World Video Game Championship II,USA,f1,70587FF4,Works,1.0.25.41117,,,,,,,,,,,,,,,,,,,
,Blockbuster World Video Game Championship II,USA,f1+C,4E8515FB,Works,1.0.25.41117,,,,,,,,,,,,,,,,,,,
,Blockbuster World Video Game Championship II,USA,f2,C182C0A6,Has Problems,1.0.25.41117,Some tearing on bball court background,,,,,,,,,,,,,,,,,,
,Blockbuster World Video Game Championship II,USA,h1C,0660834B,Works,1.0.25.41117,,,,,,,,,,,,,,,,,,,
,Blockbuster World Video Game Championship II,USA,h2C,233C4957,Works,1.0.25.41117,,,,,,,,,,,,,,,,,,,
,Blockout,World,,5E2966F1,Works,1.0.7251.40474,Force USA (NTSC),,,,,,,,,,,,,,,,,,
,Bloodshot,Europe,,F9F2BCEB,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,Blue Almanac,Japan,,7222EBB3,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,Body Count,Europe,,3575A030,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,Body Count,Brazil,,649607D1,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,Bonanza Bros.,"USA, Europe, Korea",Rev B,20D1AD4C,Works,1.0.7251.40474,Force USA (NTSC),,,,,,,,,,,,,,,,,,
,Bonanza Bros.,"Japan, Europe",,ADF6476C,Works,1.0.7251.41832,Force Japan (NTSC),,,,,,,,,,,,,,,,,,
,Bonanza Bros.,"Japan, Europe",Rev A,C6AAC589,Works,1.0.7251.40474,Force Japan (NTSC),,,,,,,,,,,,,,,,,,
,Bonkers,"USA, Europe",,D1E66017,Works,1.0.7251.40474,Force USA (NTSC),,,,,,,,,,,,,,,,,,
,Boogerman - A Pick and Flick Adventure,Europe,,DBC4340C,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,Boogerman - A Pick and Flick Adventure,USA,,1A7A2BEC,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,Boogie Woogie Bowling,Japan,,CCF52828,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,Boxing Legends of the Ring,USA,,00F225AC,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,Bram Stoker's Dracula,Europe,,9BA5A063,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,Bram Stoker's Dracula,USA,,077084A6,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,Brett Hull Hockey 95,USA,,F7775A09,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,Brian Lara Cricket,Australia,,408CF5C3,Works with patch,1.0.31.34721,,,,,,,,,,,,,,,,,,,
,Brian Lara Cricket,Europe,,90F5C2B7,Works with patch,1.0.31.34721,,,,,,,,,,,,,,,,,,,
,Brian Lara Cricket 96,Europe,,FA3024AF,Works with patch,1.0.31.34721,,,,,,,,,,,,,,,,,,,
,Brian Lara Cricket 96,Europe,a1,FE52F7E1,Works with patch,1.0.31.34721,,,,,,,,,,,,,,,,,,,
,Brian Lara Cricket 96,Europe,h1C,D49B7C17,Doesn't Work,1.0.25.41117,Locks up on Codemasters Logo,,,,,,,,,,,,,,,,,,
,Brian Lara Cricket 96,Europe,h2C,6620B235,Doesn't Work,1.0.25.41117,Locks up on Codemasters Logo,,,,,,,,,,,,,,,,,,
,Brian Lara Cricket 96,Europe,h3C,7E2A359A,Doesn't Work,1.0.25.41117,Locks up on Codemasters Logo,,,,,,,,,,,,,,,,,,
,Brutal - Paws of Fury,Europe,,7E9A8D32,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,Brutal - Paws of Fury,USA,,98D502CD,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Bubba 'N' Stix,Europe,,B467432E,Unplayable,1.0.7251.40474,Parallax Scrolling backgrounds are garbled,,,,,,,,,,,,,,,,,,
,Bubba 'N' Stix,USA,,D45CB46F,Unplayable,1.0.7251.41832,Parallax Scrolling backgrounds are garbled,,,,,,,,,,,,,,,,,,
,Bubba N Stix,Europe,h1C,2C57EA98,Unplayable,1.0.25.41117,Parallax Scrolling backgrounds are garbled,,,,,,,,,,,,,,,,,,
,Bubble and Squeak,USA,,28C4A006,Works,1.0.7251.41832,,,,,,,,,,,,,,,,,,,
,Bubble and Squeak,Europe,,86151BF1,Works,1.0.7251.40474,Image is downscaled ,,,,,,,,,,,,,,,,,,
